[run number],threshold,person1,person2,[step],words-said
84,0.3,animals_wikipedia.csv,animals_twitter.csv,4,[cat piranha alligator robin]
85,0.1,animals_gigaword.csv,animals_wikipedia.csv,16,[tortoise crow mongoose bumblebee penguin mouse wombat moose camel panther monkey mink dog swan nightingale rooster monkey]
87,0.3,animals_gigaword.csv,animals_wikipedia.csv,11,[hamster parrot spider monkey kangaroo emu ostrich hedgehog centipede panda tiger panda]
86,0.2,animals_gigaword.csv,animals_wikipedia.csv,48,[rattlesnake hawk scorpion hedgehog gorilla leopard falcon dingo deer salmon shrimp termite grasshopper tarantula parakeet monkey toad chimpanzee flea zebra rat panther ostrich dolphin tapir lemming wombat alligator buffalo elk bison duck rabbit hare squirrel gazelle rhinoceros mongoose beetle pigeon hamster ladybug ant centipede nymph goat cat swallow rattlesnake]
88,0.1,animals_google.csv,animals_wikipedia.csv,32,[wasp owl spider dolphin pig koala panther duck okapi panda hawk raven trout cat rat shrimp tortoise racoon woodpecker swan hyena nymph fly crab elk coyote ant alligator cuttlefish caterpillar beaver donkey tortoise]
89,0.2,animals_google.csv,animals_wikipedia.csv,38,[snake bee panda mouse toad badger tiger whale hyena chipmunk hawk duck seal deer carp cuttlefish platypus elephant eagle wombat frog ladybug finch toucan nymph starfish pony rooster canary caiman lobster flea moth otter termite dingo pig mongoose termite]
90,0.3,animals_google.csv,animals_wikipedia.csv,36,[toad lizard eagle rattlesnake boa monkey chameleon starfish piranha panther owl turtle octopus spider butterfly cat mink eel salmon shark cuttlefish goldfish parrot ostrich hare rat ladybug weasel coyote frog cockroach cow badger goat duck woodpecker eel]
91,0.1,animals_twitter.csv,animals_wikipedia.csv,29,[monkey prawn beaver grasshopper mole stingray sparrow cat deer cow hyena antelope caterpillar wasp bee parrot poodle racoon lemur mink flea walrus toucan rhinoceros scallop squirrel mongoose shark goose monkey]
93,0.3,animals_twitter.csv,animals_wikipedia.csv,23,[raven wombat jaguar lion giraffe python grasshopper sparrow ant bee turtle toad lemming walrus whale squid hamster duck donkey cockroach panther elephant beetle grasshopper]
94,0.1,animals_wikipedia.csv,animals_wikipedia.csv,30,[bear reindeer weasel snail pigeon turtle bee woodpecker tapir beaver hamster poodle starfish shark lemur antelope squirrel beetle mole butterfly octopus ladybug chipmunk koala cuttlefish wolf lizard goldfish tiger horse tiger]
92,0.2,animals_twitter.csv,animals_wikipedia.csv,26,[eagle rooster moth toad salmon crab gorilla puma seal turtle penguin ladybug panther scorpion squirrel lion frog termite flamingo dolphin dog swan sheep flea catfish oyster salmon]
95,0.2,animals_wikipedia.csv,animals_wikipedia.csv,39,[walrus horse woodpecker deer carp stork dolphin seal turtle mammoth ostrich tapir dingo reindeer cow elephant wombat lemming alligator lemur cuttlefish spider jaguar chameleon raven butterfly sparrow rattlesnake chipmunk chicken rat coyote mink koala hamster snake parrot squirrel flea rat]
96,0.3,animals_wikipedia.csv,animals_wikipedia.csv,10,[raven parrot goldfish cat tiger rooster pig turtle lizard squirrel parrot]
97,0.1,animals_gigaword.csv,animals_gigaword.csv,39,[grasshopper shark alligator seal rooster dog elephant bison reindeer giraffe flea badger sparrow gorilla mouse hedgehog woodpecker pelican cuttlefish barracuda parrot panther otter stingray gazelle ladybug flamingo mammoth whale ostrich termite poodle gecko rabbit blackbird penguin rhinoceros moth yak rhinoceros]
98,0.2,animals_gigaword.csv,animals_gigaword.csv,22,[crocodile antelope squirrel hawk deer catfish jellyfish nymph woodpecker dragonfly wasp pigeon boa moth mongoose frog ladybug centipede squid scallop octopus crab scallop]
99,0.3,animals_gigaword.csv,animals_gigaword.csv,21,[jellyfish crab spider frog grasshopper owl dolphin shark turtle rhinoceros dragonfly beetle salamander toad parrot weasel hyena wolf dog monkey gecko salamander]
100,0.1,animals_google.csv,animals_gigaword.csv,60,[python tarantula tiger cat monkey chameleon zebra lion alligator deer crab lizard panther trout lobster wasp bear otter platypus caiman bumblebee cuttlefish wombat chimpanzee flamingo penguin turkey goat eel stingray whale mule hare mouse pigeon bison tapir turtle emu scorpion termite beetle toad donkey moose weasel racoon woodpecker butterfly flea boa jaguar elk owl shark swan spider salmon parakeet okapi tapir]
101,0.2,animals_google.csv,animals_gigaword.csv,5,[bee alligator chimpanzee wombat snail bee]
103,0.1,animals_twitter.csv,animals_gigaword.csv,26,[kiwi spider tarantula turtle beetle jaguar bear duck carp monkey finch nymph peacock wolf bee fox rabbit toad tortoise platypus alligator parakeet reindeer stork otter starfish tarantula]
