[run number],threshold,person1,[step],words-said
133,0.1,animals_gigaword.csv,18,[leopard goat beaver weasel eagle emu duck platypus shark lobster barracuda alligator carp monkey squid cuttlefish python caiman alligator]
137,0.2,animals_google.csv,29,[weasel frog bison camel eagle leopard salamander sheep piranha elephant lizard wasp alligator horse bumblebee toucan monkey spider squid scallop puma trout salmon elk panther poodle fox zebra moose salmon]
136,0.1,animals_google.csv,18,[centipede crocodile koala flea jaguar frog okapi giraffe swallow mongoose owl duck chimpanzee puma hamster moth scallop caterpillar puma]
149,0.2,animals_google.csv,24,[lobster duck piranha zebra snake trout carp grasshopper finch beaver rabbit frog whale tarantula monkey nymph rat jellyfish kangaroo flea stingray bee panda swan nymph]
150,0.3,animals_google.csv,26,[weasel flamingo cow frog bonobo tortoise koala prawn lobster chipmunk reindeer centipede beetle badger bee scorpion moth butterfly barracuda starfish dolphin raven squirrel cuttlefish bumblebee gibbon koala]
139,0.1,animals_twitter.csv,44,[bumblebee rooster pigeon canary tiger gorilla mongoose shark owl swallow dragonfly stork cat chicken catfish squirrel seal otter chimpanzee octopus caiman badger albatross scallop sheep hamster rat eagle hyena toad toucan falcon moose spider squid kiwi wombat moth mouse cockroach piranha grasshopper snail turtle bumblebee]
153,0.3,animals_twitter.csv,22,[stingray monkey parrot turtle wasp salamander toad chipmunk grasshopper hedgehog hamster starfish eel dolphin ostrich walrus duck gorilla cockroach chicken stork platypus stingray]
142,0.1,animals_wikipedia.csv,33,[poodle tarantula pig lizard rhinoceros bee duck butterfly flea pelican crab swallow crow centipede panda sheep chimpanzee rabbit octopus squirrel tortoise elephant giraffe fox dingo panther falcon sparrow pigeon hyena woodpecker hamster eagle duck]
155,0.2,animals_wikipedia.csv,25,[tarantula stork caiman albatross chipmunk wolf pony yak bison owl centipede horse coyote hedgehog racoon duck poodle rabbit dolphin dog goat cockroach koala zebra turtle dog]
156,0.3,animals_wikipedia.csv,19,[finch deer elephant parrot cockroach turtle duck crow peacock elk rattlesnake goose fox squirrel beetle crocodile ant mouse snake ant]
145,0.1,animals_gigaword.csv,17,[monkey hare horse rhinoceros carp rabbit tiger barracuda wasp snake flamingo hamster moose canary fly chameleon leopard wasp]
158,0.2,animals_gigaword.csv,11,[lobster badger kangaroo deer hyena fox horse caiman otter rabbit gecko otter]
159,0.3,animals_gigaword.csv,6,[salmon scallop goldfish hamster kangaroo pony hamster]
146,0.2,animals_gigaword.csv,26,[ant jellyfish cat whale dog platypus tapir hyena skunk sparrow lemur toad turtle dove shark pelican lion pig pony rabbit parrot gorilla gecko boa tarantula flea shark]
147,0.3,animals_gigaword.csv,19,[turtle snail frog reindeer rabbit hyena crocodile monkey duck donkey rat tiger lizard shark spider tarantula ant tortoise jellyfish hyena]
148,0.1,animals_google.csv,7,[badger buffalo mongoose butterfly goldfish shrimp barracuda badger]
151,0.1,animals_twitter.csv,30,[bumblebee wasp termite ladybug bonobo lion grasshopper beaver turtle panther dolphin swan dove weasel gecko falcon oyster carp cat rhinoceros lobster beetle hamster pony hedgehog tapir rat coyote wombat barracuda swan]
152,0.2,animals_twitter.csv,20,[platypus gorilla stingray tortoise bonobo kiwi shrimp bumblebee koala goat scallop mongoose pigeon sparrow wolf rhinoceros bison reindeer owl alligator owl]
